openalex_id,title,year,doi,type,affiliation,is_peer_reviewed,match_strength,pdf_mention_count,matched_terms,discovery_source,use_tier,use_tier_label,use_score,use_signals,needs_manual_review,review_reason,sample_context
https://openalex.org/W2908465883,Lidar estimation of rotor-effective wind speed – an experimental comparison,2019.0,10.5194/wes-4-421-2019,article,non_affiliated,True,,0,,channel_b:B2:RIVoRS+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"d pitch controller and one of the first was introduced by Harris et al. (2006). It utilizes nacelle- or spinner-mounted lidar systems to retrieve information about the inflow. In contrast to traditional feedback (FB) control of rotor speed, disturbances in the infl | cross-spectra of REWS estimations for lidar and turbine. It is compared to field data obtained from two continuous-wave lidar systems mounted on top of the nacelle of a wind turbine. To retrieve the turbulence model parameters, meas"
https://openalex.org/W2910589267,Analysis of flow in complex terrain using multi-Doppler lidar retrievals,2020.0,10.5194/amt-13-1357-2020,article,nwc_affiliated,True,,0,,channel_g:ground_truth,2,analytical / discussion use,20,methods_context; results_context,False,,"irtual towers they were used for. Download Print Version | Download XLSX The University of Oklahoma (OU) deployed the Collaborative Lower Atmospheric Mobile Profiling System (CLAMPS, Wagner et al., 2019) at the Orange Grove site, which is located inside the valley and served as central observ | eview Metrics Related articles Research article | 24 Mar 2020 Analysis of flow in complex terrain using multi-Doppler lidar retrievals Tyler M. Bell, Petra Klein, Norman Wildmann, and Robert Menke Abstrac"
https://openalex.org/W3024671688,Integrated System for Atmospheric Boundary Layer Height Estimation (ISABLE) using a ceilometer and microwave radiometer,2020.0,10.5194/amt-13-6965-2020,article,non_affiliated,True,,0,,channel_b:B2:LAPSE-RATE+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"2–1105, 2003. Caicedo, V., Rappenglück, B., Lefer, B., Morris, G., Toledo, D., and Delgado, R.: Comparison of aerosol lidar retrieval methods for boundary layer height detection using ceilometer aerosol backscatter data, Atmos. Meas. Tech., 10, 1609–162 | e University Press, Cambridge, UK, 1994. Heese, B., Flentje, H., Althausen, D., Ansmann, A., and Frey, S.: Ceilometer lidar comparison: backscatter coefficient retrieval and signal-to-noise ratio determination, Atmos. Meas. Tech., 3, 1763–1770,"
https://openalex.org/W3004890840,"Smoke of extreme Australian bushfires observed in the stratosphere over Punta Arenas, Chile, in January 2020: optical thickness, lidar ratios, and depolarization ratios at 355 and 532 nm",2020.0,10.5194/acp-20-8003-2020,article,non_affiliated,True,,0,,channel_b:B2:EPIC+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"at different laser wavelengths, namely at 355 nm in the case of the Aeolus lidar and 532 nm in the case of the CALIPSO lidar. On the one hand, 532 nm lidar ratios are needed, e.g., to accurately retrieve height profiles of the smoke light-extinction coefficients and of smoke aerosol optical thickness (AOT) by means of the | rofiles of the smoke light-extinction coefficients and of smoke aerosol optical thickness (AOT) by means of the CALIPSO lidar. On the other hand, 355 nm particle depolarizati"
https://openalex.org/W3088784550,Ground-based temperature and humidity profiling: combining active and passive remote sensors,2021.0,10.5194/amt-14-3033-2021,article,non_affiliated,True,,0,,channel_g:ground_truth,2,analytical / discussion use,20,methods_context; results_context,False,,"e Profiling (HATPRO) microwave radiometer (Rose et al., 2005). This is a fourth-generation system, which is part of the Collaborative Lower Atmospheric Mobile Profiling System (CLAMPS; Wagner et al., 2019). The instrument specifications are given in Table 1. The radiometric uncertainty in these | ation approach (Rodgers, 2000; Maahn et al., 2020), which is a one-dimensional variational method. We have modified the AERIoe optimal-estimation retrieval algorithm (Turner and Löhnert, 2014) to use AE"
https://openalex.org/W3111576666,"Tropospheric and stratospheric wildfire smoke profiling with lidar: mass, surface area, CCN, and INP retrieval",2021.0,10.5194/acp-21-9779-2021,article,non_affiliated,True,,0,,channel_b:B2:EPIC+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"Metrics Related articles Research article | 29 Jun 2021 Tropospheric and stratospheric wildfire smoke profiling with lidar: mass, surface area, CCN, and INP retrieval Albert Ansmann, Kevin Ohneiser, Rodanthi-Elisavet Mamouri, Daniel A. Knopf, Igor Veselovskii, Holger Baars, Ronny Engel | nn, R., Foth, A., Jimenez, C., Seifert, P., and Barja, B.: Tropospheric and stratospheric wildfire smoke profiling with lidar: mass, surface area, CCN, and INP retrieval, Atmos. Chem. Phys., 21, 9779–9807, https"
https://openalex.org/W4285125734,A Spatio-Temporal Neural Network for Fine-Scale Wind Field Nowcasting Based on Lidar Observation,2022.0,10.1109/jstars.2022.3189037,article,non_affiliated,True,,0,,channel_b:B2:SCALES+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"butions of this article are as follows. We presented an indirect wind field nowcasting scheme which first predicts the lidar observations, and then the future wind field is estimated by wind field retrieval methods according to the predictions. The feasibility of the scheme is verified by experiments, where the errors in lid | val methods according to the predictions. The feasibility of the scheme is verified by experiments, where the errors in lidar observation nowcasting are found to be smalle"
https://openalex.org/W4288077541,Observational data from uncrewed systems over Southern Great Plains,2022.0,10.5194/essd-14-3423-2022,article,non_affiliated,True,,0,,channel_b:B2:LAPSE-RATE+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"The AIMMS wind parameters, such as wind speed, wind direction, and wind components, were compared with the ARM Doppler Lidar (DL) retrieved wind parameters (Newsom et al., 2019) in Fig. 7. The ARM DL is an active remote-sensing instrument that provides time"
https://openalex.org/W4318049486,Atmospheric boundary layer height from ground-based remote sensing: a review of capabilities and limitations,2023.0,10.5194/amt-16-433-2023,review,non_affiliated,True,,0,,channel_b:B2:LAPSE-RATE+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"53, 752–771, https://doi.org/10.1175/JAMC-D-13-0126.1, 2014. a Turner, D. D. and Blumberg, W. G.: Improvements to the AERIoe thermodynamic profile retrieval algorithm, IEEE J. Sel. Top. Appl., 12, 1339–1354, https://doi.org/10.1109/JSTARS.2018.2874968, 2018. a Turner, D. D. | -2013, 2013. a Caicedo, V., Rappenglück, B., Lefer, B., Morris, G., Toledo, D., and Delgado, R.: Comparison of aerosol lidar retrieval methods for boundary layer height detection using ceilometer aerosol backscatter data, A"
https://openalex.org/W4362637197,Dependency of vertical velocity variance on meteorological conditions in the convective boundary layer,2023.0,10.5194/acp-23-4045-2023,article,non_affiliated,True,,0,,channel_b:B2:SCALES+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"ikho and Banakh, 2017) and to identify coherent structures (e.g. Ansmann et al., 2010; Cheliotis et al., 2020). Doppler lidars are a reliable method to retrieve the σ 2 w / w 2 ∗ profile, as shown in a comparison between the σ 2 w / w 2 ∗ profile derived from a Doppler lidar,"
https://openalex.org/W4322626918,First assessment of Aeolus Standard Correct Algorithm particle backscatter coefficient retrievals in the eastern Mediterranean,2023.0,10.5194/amt-16-1017-2023,article,non_affiliated,True,,0,,channel_b:B2:SCALES+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"algorithms) that provides a feature mask (AEL-FM) at the highest available resolution and aerosol–cloud extinction and lidar ratios via a multiscale optimal estimation method (AEL-PRO). Both MLE and AEL retrievals have been released at a more recent baseline (2A14) than those used in the current study (2A11) and, for this reason, | comparison versus PollyXT. From top to bottom, the weak layer extending from 6 to 8 km, as observed in the ground-based lidar profiles, is partially evident in the SC"
https://openalex.org/W4317740049,Identification of the energy contributions associated with wall-attached eddies and very-large-scale motions in the near-neutral atmospheric surface layer through wind LiDAR measurements,2023.0,10.1017/jfm.2022.1080,article,non_affiliated,True,,0,,channel_b:B2:SCALES+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"volved. 2.3. Streamwise mean velocity and turbulence intensity The mean streamwise velocity measured through the wind LiDAR and the PA2 sonic anemometer is scaled with the friction velocity retrieved from the sonic-anemometer data, then compared in figure 3(a) to ASL data collected from previous experiments at differ | Reynolds number. J. Fluid Mech. 860, 886–938.CrossRefGoogle Scholar Letizia, S., Zhan, L. & Iungo, G.V. 2021 a LiSBOA (LiDAR statistical barnes objective analysis) for optimal des"
https://openalex.org/W4385896622,Using optimal estimation to retrieve winds from velocity-azimuth display (VAD) scans by a Doppler lidar,2023.0,10.5194/amt-16-3715-2023,article,non_affiliated,True,,0,,channel_b:B2:SCALES+Doppler lidar,2,analytical / discussion use,20,methods_context; results_context,False,,"rg/10.5194/amt-10-247-2017, 2017. Coniglio, M. C., Romine, G. S., Turner, D. D., and Torn, R. D.: Impacts of Targeted AERI and Doppler Lidar Wind Retrievals on Short-Term Forecasts of the Initiation and Early Evolution of Thunderstorms, Mon. Weather Rev., 147, 1149–1170, htt | 6, 1959–1976, https://doi.org/10.1007/S00024-018-2058-8, 2018. Turner, D. D. and Blumberg, W. G.: Improvements to the AERIoe thermodynamic profile retrieval algorithm, IEEE J. Sel. Top. Appl. Earth Obs. Remote Sens., 12, 1"
https://openalex.org/W4400562150,A multi-instrument fuzzy logic boundary-layer-top detection algorithm,2024.0,10.5194/amt-17-4087-2024,article,nwc_affiliated,True,,0,,channel_g:ground_truth,2,analytical / discussion use,20,methods_context; results_context,False,,"torms Laboratory (NSSL) developed and continue to operate the Collaborative Lower Atmospheric Mobile Profiling Systems (CLAMPS1 and CLAMPS2). Designed as sibling platforms, OU-NSSL CLAMPS1 and NOAA-NSSL CLAMPS2 combine a Doppler lidar (DL), atmosp | tory (NSSL) developed and continue to operate the Collaborative Lower Atmospheric Mobile Profiling Systems (CLAMPS1 and CLAMPS2). Designed as sibling platforms, OU-NSSL CLAMPS1 and NOAA-NSSL CLAMPS2 combine a Doppler lidar (DL), atmospheric emitte | "
